ecological_program,score_column,gene_symbol,gene_order_within_program,n_genes_defined_in_program,biological_category,used_in_GSE253355,used_in_GSE279576,program_scope,scoring_method,minimum_present_genes_required,fallback_if_fewer_than_2_genes_present,use_raw,opportunity_weight,notes
Myeloid_granulocytic,Myeloid_granulocytic_score,LTF,6,8,Hematopoietic/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Myeloid_granulocytic,Myeloid_granulocytic_score,S100A8,7,8,Hematopoietic/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Myeloid_granulocytic,Myeloid_granulocytic_score,S100A9,8,8,Hematopoietic/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Monocyte_macrophage,Monocyte_macrophage_score,LYZ,1,8,Immune/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Monocyte_macrophage,Monocyte_macrophage_score,LST1,2,8,Immune/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Monocyte_macrophage,Monocyte_macrophage_score,S100A8,3,8,Immune/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Monocyte_macrophage,Monocyte_macrophage_score,S100A9,4,8,Immune/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Monocyte_macrophage,Monocyte_macrophage_score,FCN1,5,8,Immune/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Monocyte_macrophage,Monocyte_macrophage_score,CTSS,6,8,Immune/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Monocyte_macrophage,Monocyte_macrophage_score,TYROBP,7,8,Immune/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Monocyte_macrophage,Monocyte_macrophage_score,MS4A7,8,8,Immune/myeloid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Erythroid,Erythroid_score,HBB,1,7,Hematopoietic/erythroid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Erythroid,Erythroid_score,HBA1,2,7,Hematopoietic/erythroid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Erythroid,Erythroid_score,HBA2,3,7,Hematopoietic/erythroid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Erythroid,Erythroid_score,ALAS2,4,7,Hematopoietic/erythroid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Erythroid,Erythroid_score,KLF1,5,7,Hematopoietic/erythroid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Erythroid,Erythroid_score,GYPA,6,7,Hematopoietic/erythroid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Erythroid,Erythroid_score,AHSP,7,7,Hematopoietic/erythroid,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
B_cell,B_cell_score,MS4A1,1,6,Immune/B cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
B_cell,B_cell_score,CD79A,2,6,Immune/B cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
B_cell,B_cell_score,CD79B,3,6,Immune/B cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
B_cell,B_cell_score,BANK1,4,6,Immune/B cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
B_cell,B_cell_score,CD74,5,6,Immune/B cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
B_cell,B_cell_score,IGHM,6,6,Immune/B cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
T_NK,T_NK_score,CD3D,1,7,Immune/T and NK cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
T_NK,T_NK_score,CD3E,2,7,Immune/T and NK cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
T_NK,T_NK_score,TRAC,3,7,Immune/T and NK cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
T_NK,T_NK_score,NKG7,4,7,Immune/T and NK cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
T_NK,T_NK_score,GNLY,5,7,Immune/T and NK cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
T_NK,T_NK_score,GZMB,6,7,Immune/T and NK cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
T_NK,T_NK_score,IL7R,7,7,Immune/T and NK cell,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
MSC_stromal,MSC_stromal_score,CXCL12,1,8,Stromal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
MSC_stromal,MSC_stromal_score,LEPR,2,8,Stromal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
MSC_stromal,MSC_stromal_score,PDGFRA,3,8,Stromal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
MSC_stromal,MSC_stromal_score,PDGFRB,4,8,Stromal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
MSC_stromal,MSC_stromal_score,VCAM1,5,8,Stromal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
MSC_stromal,MSC_stromal_score,KITLG,6,8,Stromal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
MSC_stromal,MSC_stromal_score,NT5E,7,8,Stromal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
MSC_stromal,MSC_stromal_score,ENG,8,8,Stromal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Endothelial_vascular,Endothelial_vascular_score,PECAM1,1,7,Vascular,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Endothelial_vascular,Endothelial_vascular_score,VWF,2,7,Vascular,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Endothelial_vascular,Endothelial_vascular_score,KDR,3,7,Vascular,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Endothelial_vascular,Endothelial_vascular_score,ESAM,4,7,Vascular,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Endothelial_vascular,Endothelial_vascular_score,EMCN,5,7,Vascular,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Endothelial_vascular,Endothelial_vascular_score,CLDN5,6,7,Vascular,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Endothelial_vascular,Endothelial_vascular_score,FLT1,7,7,Vascular,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Osteolineage_endosteal,Osteolineage_endosteal_score,BGLAP,1,7,Stromal/endosteal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Osteolineage_endosteal,Osteolineage_endosteal_score,SPP1,2,7,Stromal/endosteal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Osteolineage_endosteal,Osteolineage_endosteal_score,RUNX2,3,7,Stromal/endosteal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Osteolineage_endosteal,Osteolineage_endosteal_score,COL1A1,4,7,Stromal/endosteal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Osteolineage_endosteal,Osteolineage_endosteal_score,COL1A2,5,7,Stromal/endosteal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Osteolineage_endosteal,Osteolineage_endosteal_score,IBSP,6,7,Stromal/endosteal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Osteolineage_endosteal,Osteolineage_endosteal_score,ALPL,7,7,Stromal/endosteal,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Adipocytic,Adipocytic_score,ADIPOQ,1,6,Stromal/adipocytic,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Adipocytic,Adipocytic_score,PLIN1,2,6,Stromal/adipocytic,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Adipocytic,Adipocytic_score,FABP4,3,6,Stromal/adipocytic,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Adipocytic,Adipocytic_score,LPL,4,6,Stromal/adipocytic,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Adipocytic,Adipocytic_score,PPARG,5,6,Stromal/adipocytic,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Adipocytic,Adipocytic_score,CEBPA,6,6,Stromal/adipocytic,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
ECM_matrix,ECM_matrix_score,COL1A1,1,7,Extracellular matrix,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
ECM_matrix,ECM_matrix_score,COL1A2,2,7,Extracellular matrix,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
ECM_matrix,ECM_matrix_score,COL3A1,3,7,Extracellular matrix,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
ECM_matrix,ECM_matrix_score,FN1,4,7,Extracellular matrix,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
ECM_matrix,ECM_matrix_score,DCN,5,7,Extracellular matrix,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
ECM_matrix,ECM_matrix_score,LUM,6,7,Extracellular matrix,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
ECM_matrix,ECM_matrix_score,MMP2,7,7,Extracellular matrix,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Inflammatory,Inflammatory_score,IL1B,1,7,Inflammatory,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Inflammatory,Inflammatory_score,TNF,2,7,Inflammatory,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Inflammatory,Inflammatory_score,CXCL8,3,7,Inflammatory,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Inflammatory,Inflammatory_score,CCL2,4,7,Inflammatory,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Inflammatory,Inflammatory_score,CCL3,5,7,Inflammatory,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Inflammatory,Inflammatory_score,CCL4,6,7,Inflammatory,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Inflammatory,Inflammatory_score,NFKBIA,7,7,Inflammatory,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
CXCL12_CXCR4_axis,CXCL12_CXCR4_axis_score,CXCL12,1,5,Stromal signaling,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
CXCL12_CXCR4_axis,CXCL12_CXCR4_axis_score,CXCR4,2,5,Stromal signaling,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
CXCL12_CXCR4_axis,CXCL12_CXCR4_axis_score,ACKR3,3,5,Stromal signaling,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
CXCL12_CXCR4_axis,CXCL12_CXCR4_axis_score,KITLG,4,5,Stromal signaling,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
CXCL12_CXCR4_axis,CXCL12_CXCR4_axis_score,VCAM1,5,5,Stromal signaling,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Hypoxia_stress,Hypoxia_stress_score,HIF1A,1,6,Hypoxia/stress,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Hypoxia_stress,Hypoxia_stress_score,VEGFA,2,6,Hypoxia/stress,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Hypoxia_stress,Hypoxia_stress_score,SLC2A1,3,6,Hypoxia/stress,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Hypoxia_stress,Hypoxia_stress_score,LDHA,4,6,Hypoxia/stress,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Hypoxia_stress,Hypoxia_stress_score,BNIP3,5,6,Hypoxia/stress,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
Hypoxia_stress,Hypoxia_stress_score,DDIT4,6,6,Hypoxia/stress,True,True,Shared normal-bone-marrow and spatial-leukemia program,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from both scoring scripts.
AML_blast_like,AML_blast_like_score,MPO,1,8,Malignant/AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
AML_blast_like,AML_blast_like_score,AZU1,2,8,Malignant/AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
AML_blast_like,AML_blast_like_score,PRTN3,3,8,Malignant/AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
AML_blast_like,AML_blast_like_score,ELANE,4,8,Malignant/AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
AML_blast_like,AML_blast_like_score,KIT,5,8,Malignant/AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
AML_blast_like,AML_blast_like_score,CD34,6,8,Malignant/AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
AML_blast_like,AML_blast_like_score,PROM1,7,8,Malignant/AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
AML_blast_like,AML_blast_like_score,HOXA9,8,8,Malignant/AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Primitive_like_AML,Primitive_like_AML_score,CD34,1,6,Malignant/primitive AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Primitive_like_AML,Primitive_like_AML_score,PROM1,2,6,Malignant/primitive AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Primitive_like_AML,Primitive_like_AML_score,KIT,3,6,Malignant/primitive AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Primitive_like_AML,Primitive_like_AML_score,MEIS1,4,6,Malignant/primitive AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Primitive_like_AML,Primitive_like_AML_score,HOXA9,5,6,Malignant/primitive AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Primitive_like_AML,Primitive_like_AML_score,GATA2,6,6,Malignant/primitive AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Committed_like_AML,Committed_like_AML_score,MPO,1,6,Malignant/committed AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Committed_like_AML,Committed_like_AML_score,AZU1,2,6,Malignant/committed AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Committed_like_AML,Committed_like_AML_score,ELANE,3,6,Malignant/committed AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Committed_like_AML,Committed_like_AML_score,PRTN3,4,6,Malignant/committed AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Committed_like_AML,Committed_like_AML_score,FCGR3B,5,6,Malignant/committed AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Committed_like_AML,Committed_like_AML_score,LTF,6,6,Malignant/committed AML,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Immune_suppression,Immune_suppression_score,LILRB4,1,6,Immune suppression,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Immune_suppression,Immune_suppression_score,LGALS9,2,6,Immune suppression,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Immune_suppression,Immune_suppression_score,CD274,3,6,Immune suppression,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
Immune_suppression,Immune_suppression_score,HAVCR2,4,6,Immune suppression,False,True,Spatial leukemia-focused add-on,scanpy.tl.score_genes,2,Score set to 0.0,False,,Gene set reproduced exactly from the GSE279576 spatial scoring script.
